table,quarter,file,data_rows,ragged_rows
DEMO,2025Q3,DEMO25Q3.txt,438512,0
DRUG,2025Q3,DRUG25Q3.txt,2148451,0
REAC,2025Q3,REAC25Q3.txt,1535133,0
INDI,2025Q3,INDI25Q3.txt,1310274,0
OUTC,2025Q3,OUTC25Q3.txt,343251,0
THER,2025Q3,THER25Q3.txt,514480,0
RPSR,2025Q3,RPSR25Q3.txt,11107,0
DELETE,2025Q3,DELETE25Q3.txt,4947,1
DEMO,2025Q4,DEMO25Q4.txt,385288,0
DRUG,2025Q4,DRUG25Q4.txt,1815349,0
REAC,2025Q4,REAC25Q4.txt,1349105,0
INDI,2025Q4,INDI25Q4.txt,1168789,0
OUTC,2025Q4,OUTC25Q4.txt,289721,0
THER,2025Q4,THER25Q4.txt,454746,0
RPSR,2025Q4,RPSR25Q4.txt,10694,0
DELETE,2025Q4,DELETE25Q4.txt,4497,1
DEMO,2026Q1,DEMO26Q1.txt,397224,0
DRUG,2026Q1,DRUG26Q1.txt,1703210,0
REAC,2026Q1,REAC26Q1.txt,1330675,0
INDI,2026Q1,INDI26Q1.txt,1139940,0
OUTC,2026Q1,OUTC26Q1.txt,291580,0
THER,2026Q1,THER26Q1.txt,404946,0
RPSR,2026Q1,RPSR26Q1.txt,11426,0
DELETE,2026Q1,DELETE26Q1.txt,6135,0
DEMO,2026Q2,DEMO26Q2.txt,422459,0
DRUG,2026Q2,DRUG26Q2.txt,1627225,0
REAC,2026Q2,REAC26Q2.txt,1394751,0
INDI,2026Q2,INDI26Q2.txt,1124333,0
OUTC,2026Q2,OUTC26Q2.txt,303705,0
THER,2026Q2,THER26Q2.txt,326027,0
RPSR,2026Q2,RPSR26Q2.txt,11295,0
DELETE,2026Q2,DELETE26Q2.txt,4217,1
